cidade,semana,tmedia,tmax,tmin,chuva
Campina Grande,1992-12-27T00:00:00Z,26.133333333333333,30.4,20.7,0
Campina Grande,1993-01-03T00:00:00Z,26.11904761904762,32.4,19.3,0
Campina Grande,1993-01-10T00:00:00Z,25.766666666666666,32.2,19.7,0
Campina Grande,1993-01-31T00:00:00Z,25.74,32,19.9,0.4
Campina Grande,1993-02-07T00:00:00Z,26.314285714285713,32.7,19.6,0.3
Campina Grande,1993-02-14T00:00:00Z,26.285714285714285,32.7,20,0
Campina Grande,1993-02-21T00:00:00Z,26.47142857142857,32.3,20.4,4.9
Campina Grande,1993-02-28T00:00:00Z,26.566666666666666,32.3,21.2,0
Campina Grande,1993-10-31T00:00:00Z,25.766666666666666,32.1,19,0
Campina Grande,1993-11-07T00:00:00Z,25.228571428571428,31.2,19,6.1
Campina Grande,1993-11-14T00:00:00Z,25.723809523809525,32.2,19.3,0.4
Campina Grande,1993-11-21T00:00:00Z,25.590476190476192,31.7,19.9,1.2
Campina Grande,1993-11-28T00:00:00Z,26.28571428571429,32.7,19.9,0
Campina Grande,1993-12-05T00:00:00Z,25.590476190476192,31.5,20,1.6
Campina Grande,1993-12-12T00:00:00Z,26.21904761904762,31.9,20,0
Campina Grande,1993-12-19T00:00:00Z,26.41904761904762,32.4,20,1.8
Campina Grande,1993-12-26T00:00:00Z,26.67142857142857,32.6,20.2,0.8
Campina Grande,1994-01-02T00:00:00Z,25.85238095238095,32.3,20.9,8.299999999999999
Campina Grande,1994-01-09T00:00:00Z,26.238095238095237,32.4,20.5,2.4
Campina Grande,1994-01-16T00:00:00Z,26.304761904761904,32.9,20.8,6.2
Campina Grande,1994-01-23T00:00:00Z,26.238095238095237,32.3,20.8,1.3
Campina Grande,1994-01-30T00:00:00Z,26.65714285714286,33.3,20.6,0.3
Campina Grande,1994-02-06T00:00:00Z,26.085714285714285,31.9,20.5,2.4
Campina Grande,1994-02-13T00:00:00Z,25.67142857142857,32.2,21,14
Campina Grande,1994-02-20T00:00:00Z,26.504761904761907,33,20.7,0
Campina Grande,1994-02-27T00:00:00Z,26.17142857142857,31.6,21.2,16.5
Campina Grande,1994-03-06T00:00:00Z,27.557142857142857,33.8,20.3,0
Campina Grande,1994-03-13T00:00:00Z,26.20952380952381,33.3,20.3,34.6
Campina Grande,1994-03-20T00:00:00Z,24.880952380952383,30.9,21,42.1
Campina Grande,1994-03-27T00:00:00Z,24.242857142857144,29.7,20.7,45.7
Campina Grande,1994-04-03T00:00:00Z,24.714285714285715,29.5,19.5,52.8
Campina Grande,1994-04-10T00:00:00Z,25.166666666666668,30.2,20.3,0.2
Campina Grande,1994-04-17T00:00:00Z,24.576190476190476,29.8,19.6,17.400000000000002
Campina Grande,1994-04-24T00:00:00Z,24.82857142857143,29.7,20.2,6.8
Campina Grande,1995-01-01T00:00:00Z,25.06111111111111,30.4,18.5,1.3
Campina Grande,1995-01-08T00:00:00Z,25.39047619047619,31.8,19,0.1
Campina Grande,1995-01-15T00:00:00Z,26.05238095238095,31.9,19.7,0.7
Campina Grande,1995-01-22T00:00:00Z,26.547619047619047,32.5,20,0
Campina Grande,1995-01-29T00:00:00Z,26.409523809523808,32.5,20.2,0.3
Campina Grande,1995-02-05T00:00:00Z,25.461904761904762,32.7,21.1,3
Campina Grande,1995-02-12T00:00:00Z,26.152380952380952,32.8,19.5,3.2
Campina Grande,1995-02-19T00:00:00Z,26.35238095238095,32.1,20,9.4
Campina Grande,1995-02-26T00:00:00Z,26.823809523809523,32.7,20.3,0
Campina Grande,1995-03-05T00:00:00Z,26.11904761904762,32.1,18.2,5.4
Campina Grande,1995-03-12T00:00:00Z,26.16190476190476,32.5,20.7,18.8
Campina Grande,1995-03-19T00:00:00Z,26.81904761904762,32.7,21.1,0.1
Campina Grande,1995-03-26T00:00:00Z,26.057142857142857,31.3,19.7,34.8
Campina Grande,1995-04-02T00:00:00Z,25.51904761904762,31.3,19.9,17.9
Campina Grande,1995-04-09T00:00:00Z,23.976190476190474,31.9,19.2,77.4
Campina Grande,1995-04-16T00:00:00Z,24.919047619047618,30,18.9,31.1
Campina Grande,1995-04-23T00:00:00Z,25.59047619047619,30.1,20,0.4
Campina Grande,1995-04-30T00:00:00Z,25.038095238095238,30,20,2
Campina Grande,1995-05-07T00:00:00Z,26.2,31,19.5,1.4
