cidade,semana,mes,ano,tmedia,tmax,tmin,chuva
Campina Grande,2008-01-06T00:00:00Z,1,2008,26.414285714285715,32.1,19.9,3.4
Campina Grande,2008-01-13T00:00:00Z,1,2008,24.595238095238095,30.2,20.3,38.5
Campina Grande,2008-01-20T00:00:00Z,1,2008,26.185714285714287,31.7,20.7,5
Campina Grande,2008-01-27T00:00:00Z,1,2008,25.447619047619046,31.2,20.7,7.1000000000000005
Campina Grande,2008-02-03T00:00:00Z,2,2008,26.571428571428573,32.5,21.3,0
Campina Grande,2008-02-10T00:00:00Z,2,2008,26.152380952380952,32.5,20.5,6.8
Campina Grande,2008-02-17T00:00:00Z,2,2008,26.761904761904763,33.3,21.4,2.7
Campina Grande,2008-02-24T00:00:00Z,2,2008,27.62857142857143,33.7,22,0
Campina Grande,2008-03-02T00:00:00Z,3,2008,27.47142857142857,34.1,21.6,0
Campina Grande,2008-03-09T00:00:00Z,3,2008,26.99047619047619,33.3,21.4,31
Campina Grande,2008-03-16T00:00:00Z,3,2008,25.35238095238095,32.5,20.6,97.9
Campina Grande,2008-03-23T00:00:00Z,3,2008,25.176190476190477,30.9,21,94.7
Campina Grande,2008-03-30T00:00:00Z,3,2008,24.909523809523808,30,20.3,29.1
Campina Grande,2008-04-06T00:00:00Z,4,2008,24.104761904761904,28.8,20.5,51.3
Campina Grande,2008-04-13T00:00:00Z,4,2008,24.995238095238097,29,20.6,0.6
Campina Grande,2008-04-20T00:00:00Z,4,2008,24.928571428571427,29.1,20,16.1
Campina Grande,2008-04-27T00:00:00Z,4,2008,24.099999999999998,28.4,19.5,13.4
Campina Grande,2008-05-04T00:00:00Z,5,2008,25.242857142857144,30.6,20.9,40.6
Campina Grande,2008-05-11T00:00:00Z,5,2008,23.004761904761903,27.8,19.9,50.9
Campina Grande,2008-05-18T00:00:00Z,5,2008,24.176190476190477,28,19.3,27.1
Campina Grande,2008-05-25T00:00:00Z,5,2008,23.633333333333333,28,19.9,34.2
Campina Grande,2008-06-01T00:00:00Z,6,2008,22.652380952380952,27.2,17.9,46.300000000000004
Campina Grande,2008-06-08T00:00:00Z,6,2008,22.233333333333334,26.7,17.4,21.3
Campina Grande,2008-06-15T00:00:00Z,6,2008,22.004761904761903,26.8,16.2,24.8
Campina Grande,2008-06-22T00:00:00Z,6,2008,22.747619047619047,27.2,17.6,3.4
Campina Grande,2008-06-29T00:00:00Z,6,2008,21.33809523809524,25.3,17.1,66.8
Campina Grande,2008-07-06T00:00:00Z,7,2008,21.66190476190476,26.3,17.9,21.7
Campina Grande,2008-07-13T00:00:00Z,7,2008,21.666666666666668,26.7,16.4,12.3
Campina Grande,2008-07-20T00:00:00Z,7,2008,21.419047619047618,26.8,16.3,16.8
Campina Grande,2008-07-27T00:00:00Z,7,2008,21.623809523809523,26.7,17.3,21.6
Campina Grande,2008-08-03T00:00:00Z,8,2008,21.885714285714286,27,17,51.1
Campina Grande,2008-08-10T00:00:00Z,8,2008,22.195238095238096,27.5,17.6,11
Campina Grande,2008-08-17T00:00:00Z,8,2008,21.957142857142856,27.7,16.8,7.4
Campina Grande,2008-08-24T00:00:00Z,8,2008,22.085714285714285,27.9,16.6,10
Campina Grande,2008-08-31T00:00:00Z,8,2008,22.83809523809524,28,17.5,31.099999999999998
Campina Grande,2008-09-07T00:00:00Z,9,2008,23.36190476190476,28,18.9,1.8
Campina Grande,2008-09-14T00:00:00Z,9,2008,24.15714285714286,29.3,19.1,0.2
Campina Grande,2008-09-21T00:00:00Z,9,2008,24.295238095238094,29.3,18.5,0.1
Campina Grande,2008-09-28T00:00:00Z,9,2008,24.776190476190475,30.3,19.1,0.5
Campina Grande,2008-10-05T00:00:00Z,10,2008,24.452380952380953,30.1,19.3,0.8
Campina Grande,2008-10-12T00:00:00Z,10,2008,24.566666666666666,30.6,19.5,9.5
Campina Grande,2008-10-19T00:00:00Z,10,2008,25.34285714285714,31.3,19.4,0.4
