country,code,year,share_animal_protein,gdp,population,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017
Afghanistan,afg,2000,3.30726257,735,22856302,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2001,2.549222798,692,23677385,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2002,3.123767798,1088,24639841,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2003,2.794926004,1112,25678639,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2004,2.714794103,1107,26693486,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2005,2.673511294,1187,27614718,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2006,2.295015259,1257,28420974,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2007,2.240469208,1447,29145841,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2008,2.312591867,1464,29839994,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2009,2.245074483,1669,30577756,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2010,2.302281369,1685,31411743,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2011,2.312292359,1792,32358260,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2012,2.335238095,1945,33397058,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Afghanistan,afg,2013,2.338755981,2025,34499915,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income
Albania,alb,2000,5.689831748,5097,3071856,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2001,5.863717446,5574,3077378,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2002,6.252793296,5883,3089778,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2003,6.789321789,6265,3106701,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2004,6.862464183,6663,3124861,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
