series_name,episode,series_ep,season,season_ep,user_rating,user_votes
Breaking Bad,Pilot,1,1,1,8.9,18483
Breaking Bad,Cat's in the Bag...,2,1,2,8.7,12890
Breaking Bad,...And the Bag's in the River,3,1,3,8.7,12499
Breaking Bad,Cancer Man,4,1,4,8.2,12172
Breaking Bad,Gray Matter,5,1,5,8.3,11896
Breaking Bad,Crazy Handful of Nothin',6,1,6,9.2,13716
Breaking Bad,A No-Rough-Stuff-Type Deal,7,1,7,8.8,12123
Breaking Bad,Seven Thirty-Seven,8,2,1,8.7,10798
Breaking Bad,Grilled,9,2,2,9.2,12802
Breaking Bad,Bit by a Dead Bee,10,2,3,8.3,10542
Breaking Bad,Down,11,2,4,8.1,10671
Breaking Bad,Breakage,12,2,5,8.3,10348
Breaking Bad,Peekaboo,13,2,6,8.8,11490
Breaking Bad,Negro Y Azul,14,2,7,8.7,10237
Breaking Bad,Better Call Saul,15,2,8,9.0,12094
Breaking Bad,4 Days Out,16,2,9,8.9,11879
Breaking Bad,Over,17,2,10,8.6,10041
Breaking Bad,Mandala,18,2,11,8.8,10482
Breaking Bad,Phoenix,19,2,12,9.1,11787
Breaking Bad,ABQ,20,2,13,9.1,11859
Breaking Bad,No Más,21,3,1,8.6,10014
Breaking Bad,Caballo sin Nombre,22,3,2,8.7,9643
Breaking Bad,I.F.T.,23,3,3,8.4,9702
Breaking Bad,Green Light,24,3,4,8.1,9941
Breaking Bad,Más,25,3,5,8.7,9349
Breaking Bad,Sunset,26,3,6,9.2,11406
Breaking Bad,One Minute,27,3,7,9.5,14267
Breaking Bad,I See You,28,3,8,8.8,9762
Breaking Bad,Kafkaesque,29,3,9,8.4,9695
Breaking Bad,Fly,30,3,10,7.6,16909
Breaking Bad,Abiquiu,31,3,11,8.5,9578
Breaking Bad,Half Measures,32,3,12,9.4,13673
Breaking Bad,Full Measure,33,3,13,9.5,15481
Breaking Bad,Box Cutter,34,4,1,9.1,12469
Breaking Bad,Thirty-Eight Snub,35,4,2,8.2,10163
Breaking Bad,Open House,36,4,3,7.9,10203
Breaking Bad,Bullet Points,37,4,4,8.7,9462
Breaking Bad,Shotgun,38,4,5,8.7,9491
Breaking Bad,Cornered,39,4,6,8.5,9617
Breaking Bad,Problem Dog,40,4,7,8.8,10100
Breaking Bad,Hermanos,41,4,8,9.1,11425
Breaking Bad,Bug,42,4,9,8.8,10191
Breaking Bad,Salud,43,4,10,9.5,14712
Breaking Bad,Crawl Space,44,4,11,9.5,16939
Breaking Bad,End Times,45,4,12,9.4,12964
Breaking Bad,Face Off,46,4,13,9.8,31993
Breaking Bad,Live Free or Die,47,5,1,9.2,14808
Breaking Bad,Madrigal,48,5,2,8.8,12169
Breaking Bad,Hazard Pay,49,5,3,8.8,11714
Breaking Bad,Fifty-One,50,5,4,8.8,11800
Breaking Bad,Dead Freight,51,5,5,9.5,18259
Breaking Bad,Buyout,52,5,6,8.8,12142
Breaking Bad,Say My Name,53,5,7,9.4,15687
Breaking Bad,Gliding Over All,54,5,8,9.5,16685
Breaking Bad,Blood Money,55,5,9,9.4,16238
Breaking Bad,Buried,56,5,10,9.0,13821
Breaking Bad,Confessions,57,5,11,9.5,17412
Breaking Bad,Rabid Dog,58,5,12,8.9,14406
Breaking Bad,To'hajiilee,59,5,13,9.7,25230
Breaking Bad,Ozymandias,60,5,14,9.9,97362
Breaking Bad,Granite State,61,5,15,9.6,25180
Breaking Bad,Felina,62,5,16,9.9,68031
Vikings,Rites of Passage,1,1,1,7.8,4988
Vikings,Wrath of the Northmen,2,1,2,8.0,4161
Vikings,Dispossessed,3,1,3,8.1,3832
Vikings,Trial,4,1,4,8.4,3715
Vikings,Raid,5,1,5,8.3,3609
Vikings,Burial of the Dead,6,1,6,8.3,3544
Vikings,A King's Ransom,7,1,7,8.5,3570
Vikings,Sacrifice,8,1,8,7.9,3558
Vikings,All Change,9,1,9,7.9,3487
Vikings,Brother's War,10,2,1,8.6,3866
Vikings,Invasion,11,2,2,8.4,3120
Vikings,Treachery,12,2,3,8.6,3234
Vikings,Eye for an Eye,13,2,4,8.5,3047
Vikings,Answers in Blood,14,2,5,8.6,3013
